COMMUNE_RESID,circo
03140,03002
03141,03003
03142,03003
03143,03002
03144,03003
03145,03002
03146,03001
03147,03003
03148,03001
03149,03001
03150,03002
03151,03002
03152,03002
03154,03003
03155,03001
03156,03001
03157,03001
03158,03002
03159,03002
03160,03001
03161,03002
03162,03001
03163,03003
03164,03003
03165,03003
03166,03003
03167,03002
03168,03002
03169,03001
03170,03001
03171,03001
03172,03002
03173,03001
03174,03003
03175,03001
03176,03001
03177,03001
03178,03003
03179,03001
03180,03001
03181,03003
03182,03003
03183,03001
03184,03001
03185,03002
03186,03002
03187,03001
03188,03001
03189,03002
03190,03001
03191,03002
03192,03002
03193,03002
03194,03002
03195,03002
03196,03003
03197,03001
03198,03001
03200,03001
03201,03003
03202,03001
03203,03001
03204,03001
03205,03003
03206,03002
03207,03001
03208,03003
03209,03003
03210,03001
03211,03002
03212,03002
03213,03002
03214,03001
03215,03001
03216,03002
03217,03002
03218,03001
03219,03002
03220,03003
03221,03002
03222,03002
03223,03003
03224,03003
03225,03002
03226,03003
03227,03003
03228,03002
03229,03001
03230,03003
03231,03002
03232,03001
03233,03002
03234,03001
03235,03001
03236,03001
03237,03001
03238,03001
03239,03003
03240,03003
03241,03001
03242,03001
03243,03002
03244,03002
03245,03001
03246,03002
03247,03001
03248,03003
03249,03002
03250,03003
03251,03001
03252,03003
03253,03001
03254,03001
03255,03003
03256,03002
03257,03003
03258,03003
03259,03002
03260,03001
03261,03002
03262,03002
03263,03001
03264,03003
03265,03001
03266,03001
03267,03001
03268,03003
03269,03002
03270,03002
03271,03003
03272,03003
03273,03001
03274,03003
03275,03001
03276,03002
03277,03001
03278,03001
03279,03002
03280,03002
03281,03001
03282,03002
03283,03001
03284,03003
03285,03002
03286,03001
03287,03001
03288,03002
03289,03003
03290,03001
03291,03003
03292,03001
03293,03002
03294,03001
03295,03002
03296,03002
03297,03002
03298,03001
03299,03003
03300,03001
03301,03002
03302,03002
03303,03002
03304,03003
03305,03002
03306,03003
03307,03001
03308,03002
03309,03001
03310,03003
03311,03002
03312,03001
03313,03002
03314,03002
03315,03002
03316,03001
03317,03002
03319,03001
03320,03001
03321,03001
04001,04001
04004,04001
04005,04001
04006,04001
04007,04001
04008,04001
04009,04001
04012,04002
04013,04001
04016,04002
04017,04002
04018,04002
04019,04002
04020,04002
04021,04001
04022,04001
04023,04002
04024,04001
04025,04001
04026,04002
04027,04002
04028,04001
04030,04001
04031,04001
04032,04001
04033,04002
04034,04001
04035,04001
04036,04001
04037,04002
04039,04001
04040,04001
04041,04001
04042,04001
04043,04001
04045,04002
04046,04001
04047,04001
04049,04001
04050,04002
04051,04002
04053,04001
04054,04001
04055,04001
04057,04002
04058,04002
04059,04001
04061,04001
04062,04002
04063,04002
04065,04002
04066,04002
04067,04002
04068,04002
04069,04001
04070,04001
04072,04001
04073,04002
04074,04001
04075,04002
04076,04001
04077,04001
04079,04001
04081,04001
04084,04001
04085,04002
04086,04002
04087,04002
04088,04002
04090,04001
04091,04001
04092,04001
04093,04002
04094,04001
04095,04002
04096,04002
04097,04001
04099,04001
04101,04002
04102,04002
04104,04002
04106,04001
04107,04001
04108,04001
04109,04002
04110,04001
04111,04002
04112,04002
04113,04001
04115,04001
04116,04001
04118,04002
04120,04002
04121,04001
04122,04001
04123,04002
04124,04001
04126,04002
04127,04001
04128,04002
04129,04002
04130,04002
04132,04002
04133,04001
04134,04002
04135,04001
04136,04001
04137,04002
04138,04002
04139,04002
04140,04002
04141,04002
04142,04002
04143,04001
04144,04001
04145,04001
04148,04001
04149,04001
04150,04002
04151,04002
04152,04002
04154,04002
04155,04001
04156,04001
04157,04001
04158,04001
04159,04002
04160,04002
04161,04002
04162,04002
04163,04002
04164,04002
04166,04001
04167,04001
04169,04002
04170,04001
04171,04001
04172,04001
04173,04001
04174,04001
04175,04002
04176,04001
04177,04001
04178,04002
04179,04002
04180,04001
04181,04001
04182,04001
04183,04001
04184,04001
04186,04001
04187,04001
04188,04002
04189,04001
04190,04002
04191,04002
04192,04002
04193,04002
04194,04001
04195,04002
04197,04002
04199,04002
04200,04001
04201,04002
04202,04001
04203,04002
04204,04001
04205,04002
04206,04002
04207,04002
04208,04002
04209,04002
04210,04001
04211,04001
04214,04001
04216,04002
04217,04001
04218,04001
04219,04001
04220,04002
04222,04002
04224,04001
04226,04002
04227,04002
04228,04002
04229,04002
04230,04001
04231,04002
04233,04002
04234,04002
04235,04002
04236,04001
04237,04002
04240,04001
04241,04002
04242,04002
04244,04001
04245,04002
05001,05002
05003,05002
05004,05002
05006,05002
05007,05002
05008,05001
05009,05002
05010,05001
05011,05001
05012,05002
05013,05001
05014,05001
05016,05001
05017,05001
05018,05001
05019,05001
05021,05001
05022,05002
05023,05002
05024,05001
05025,05002
05026,05002
05027,05002
05028,05001
05029,05002
05031,05002
05032,05002
05033,05001
05035,05001
05036,05002
05037,05001
05038,05002
05039,05002
05040,05002
05044,05002
05045,05002
05046,05002
05047,05001
05048,05001
05049,05001
05050,05002
05051,05001
05052,05002
05053,05001
05054,05002
05055,05001
05056,05002
05057,05001
05058,05002
05059,05001
05060,05001
05061,05001
05062,05002
05063,05002
05064,05002
05065,05002
05066,05001
05068,05001
05070,05001
05071,05001
05072,05002
05073,05001
05074,05001
05075,05001
05076,05001
05077,05002
05078,05001
05079,05002
05080,05001
05081,05001
05082,05002
05084,05001
05085,05002
05086,05001
05087,05001
05089,05001
05090,05002
05091,05001
05092,05001
05093,05002
05094,05001
05095,05002
05096,05002
05097,05001
05098,05002
05099,05001
05100,05001
05101,05002
05102,05001
05103,05001
05104,05002
05106,05002
05107,05002
05108,05002
05109,05002
05110,05002
05111,05002
05112,05001
05113,05001
05114,05002
05115,05002
05116,05002
05117,05001
05118,05001
05119,05002
05121,05002
05122,05002
05123,05001
05124,05001
05126,05001
05127,05002
05128,05002
05129,05001
05130,05002
05131,05001
05132,05002
05133,05002
05134,05002
05135,05001
05136,05002
05139,05001
05140,05001
05142,05002
05144,05002
05145,05002
05146,05001
05147,05002
05148,05002
05149,05002
05151,05002
05152,05002
05153,05002
05154,05001
05155,05001
05156,05002
05157,05002
05158,05001
05159,05001
05160,05001
05161,05002
05162,05001
05163,05002
05164,05002
05165,05001
05166,05001
05167,05001
05168,05001
05169,05001
05170,05001
05171,05002
05172,05001
05173,05001
05174,05002
05176,05001
05177,05002
05178,05001
05179,05001
05180,05002
05181,05002
05182,05002
05183,05002
05184,05001
06001,06002
06002,06002
06003,06002
06004,06007
06005,06002
06006,06005
06007,06009
06008,06002
06009,06002
06010,06007
06011,06004
06012,06004
06013,06005
06014,06004
06015,06004
06016,06002
06017,06002
06018,06007
06019,06004
06020,06005
06021,06002
06022,06002
06023,06004
06024,06002
06025,06002
06026,06002
06027,06006
06028,06002
06029,06008
06030,06009
06031,06004
06032,06004
06033,06002
06034,06005
06035,06004
06036,06004
06037,06007
06038,06007
06039,06004
06040,06002
06041,06002
06042,06005
06043,06004
06044,06006
06045,06002
06046,06005
06047,06002
06048,06004
06049,06007
06050,06002
06051,06002
06052,06002
06053,06002
06054,06004
06055,06005
06056,06002
06057,06004
06058,06002
06059,06004
06060,06003
06061,06002
06062,06004
06063,06002
06064,06002
06065,06002
06066,06002
06067,06004
06068,06007
06069,06002
06069,06009
06070,06002
06071,06002
06072,06005
06073,06005
06074,06005
06075,06005
06076,06002
06077,06004
06078,06002
06079,06008
06080,06005
06081,06002
06082,06002
06083,06004
06084,06009
06085,06009
06086,06004
06087,06002
06088,06001
06088,06003
06088,06005
06089,06007
06090,06009
06091,06004
06092,06004
06093,06002
06094,06002
06095,06002
06096,06002
06097,06002
06098,06002
06099,06002
06100,06002
06101,06002
06102,06005
06103,06005
06104,06004
06105,06007
06106,06002
06107,06002
06108,06009
06109,06005
06110,06005
06111,06005
06112,06007
06113,06004
06114,06003
06115,06002
06116,06002
06117,06005
06118,06002
06119,06005
06120,06005
06121,06004
06122,06002
06123,06006
06124,06002
06125,06002
06126,06005
06127,06005
06128,06006
06129,06005
06130,06002
06131,06002
06132,06004
06133,06002
06134,06002
06135,06002
06136,06004
06137,06002
06138,06008
06139,06002
06140,06002
06141,06002
06142,06004
06143,06002
06144,06002
06145,06002
06146,06002
06147,06005
06148,06007
06149,06003
06150,06004
06151,06005
06152,06007
06153,06005
06154,06002
06155,06007
06155,06008
06156,06005
06157,06002
06158,06002
06159,06004
06160,06002
06161,06006
06162,06004
06163,06004
07001,07001
07002,07003
07003,07003
07004,07001
07005,07001
07006,07001
07007,07002
07008,07001
07009,07002
07010,07002
07011,07003
07012,07001
07013,07002
07014,07002
07015,07002
07017,07003
07018,07003
07019,07003
07020,07001
07022,07001
07023,07003
07024,07003
07025,07003
07026,07003
07027,07001
07028,07003
07029,07003
07030,07001
07031,07003
07032,07003
07033,07003
07034,07001
07035,07001
07036,07002
07037,07001
07038,07003
07039,07002
07040,07002
07041,07002
07042,07001
07044,07002
07045,07003
07047,07003
07048,07001
07049,07001
07050,07003
07051,07002
07052,07002
07053,07003
07054,07001
07055,07001
07056,07002
07058,07003
07059,07002
07060,07001
07061,07003
07062,07003
07063,07002
07064,07001
07065,07003
07066,07001
07067,07002
07068,07002
07069,07002
07070,07002
07071,07003
07072,07001
07073,07002
07074,07001
07075,07003
07076,07001
07077,07003
07078,07002
07079,07002
07080,07002
07081,07003
07082,07001
07083,07001
07084,07002
07085,07002
07086,07002
07087,07003
07088,07003
07089,07002
07090,07001
07091,07003
07092,07001
07093,07003
07094,07001
07095,07002
07096,07001
07097,07002
07098,07001
07099,07001
07100,07003
07101,07003
07102,07002
07103,07001
07104,07001
07105,07003
07106,07003
07107,07003
07108,07001
07109,07003
07110,07003
07111,07003
07112,07003
07113,07003
07114,07002
07115,07003
07116,07003
07117,07003
07118,07003
07119,07003
07120,07003
07121,07003
07122,07003
07123,07001
07124,07002
07126,07003
07127,07003
07128,07002
07129,07002
07130,07003
07131,07003
07132,07003
07133,07001
07134,07003
07136,07003
07137,07003
07138,07003
07139,07003
07140,07002
07141,07003
07142,07003
07143,07002
07144,07003
07145,07003
07146,07001
07147,07003
07148,07003
07149,07001
07150,07001
07151,07002
07152,07002
07153,07003
07154,07003
07155,07003
07156,07003
07157,07001
07158,07003
07159,07003
07160,07002
07161,07003
07162,07003
07163,07003
07165,07001
07166,07002
07167,07001
07168,07003
07169,07002
07170,07002
07171,07003
07172,07002
07173,07003
07174,07002
07175,07003
07176,07003
07177,07002
07178,07003
07179,07001
07181,07001
07182,07003
07183,07003
07184,07001
07185,07002
07186,07001
07187,07003
07188,07002
07189,07003
07190,07003
07191,07001
07192,07002
07193,07003
07194,07001
07195,07001
07196,07003
07197,07002
07198,07001
07199,07003
07200,07003
07201,07003
07202,07003
07203,07003
07204,07002
07205,07002
07206,07003
07207,07003
07208,07003
07209,07001
07210,07003
07211,07003
07212,07002
07213,07003
07214,07001
07215,07001
07216,07002
07217,07002
07218,07002
07219,07001
07220,07001
07221,07001
07222,07001
07223,07003
07224,07003
07225,07002
07226,07001
07227,07002
07228,07002
07229,07003
07230,07003
07231,07003
07232,07003
07233,07001
07234,07002
07235,07003
07236,07002
07237,07001
07238,07003
07239,07001
07240,07001
07241,07003
07242,07003
07243,07002
07244,07001
07245,07002
07247,07003
07248,07001
07249,07002
07250,07002
07251,07003
07253,07001
07254,07003
07255,07001
07257,07001
07258,07002
07259,07001
07260,07001
07261,07001
07262,07003
07263,07003
07264,07001
07265,07002
07266,07003
07267,07001
07268,07001
07269,07001
07270,07001
07272,07003
07273,07003
07274,07001
07275,07003
07276,07001
07277,07003
07278,07001
07279,07001
07280,07003
07281,07002
07282,07003
07283,07001
07284,07003
07285,07002
07286,07001
07287,07003
07288,07001
07289,07003
07290,07002
07291,07001
07292,07002
07293,07002
07294,07003
07295,07001
07296,07003
07297,07002
